Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780284935,10,,Aggregated,8.400000,0.000000,4,4,5,5,6,7,17,19,100,100,100,438,0,4,5.113844748852504,3.3980000007431954,104.87210000064806,194.4703196347032
1780284936,10,,Aggregated,8.000000,0.000000,4,4,5,5,6,7,17,19,100,100,100,447,0,4,5.09592304250053,3.3980000007431954,104.87210000064806,194.20805369127515
1780284937,10,,Aggregated,7.900000,0.000000,4,4,5,5,6,7,15,19,100,100,100,456,0,4,5.0887197368442765,3.3980000007431954,104.87210000064806,193.9561403508772
1780284938,10,,Aggregated,7.800000,0.000000,4,4,5,5,6,7,15,19,100,100,100,463,0,4,5.0745913606951,3.3980000007431954,104.87210000064806,194.14038876889848
1780284939,10,,Aggregated,7.800000,0.000000,4,4,5,5,6,7,15,19,100,100,100,470,0,4,5.059847446806243,3.3980000007431954,104.87210000064806,196.80212765957447
1780284940,10,,Aggregated,7.800000,0.000000,4,4,5,5,6,7,15,19,100,100,100,480,0,4,5.041849374996825,3.3980000007431954,104.87210000064806,196.30208333333334
1780284941,10,,Aggregated,7.600000,0.000000,4,4,5,5,6,7,15,19,100,100,100,485,0,4,5.038852577310592,3.3980000007431954,104.87210000064806,195.2577319587629
1780284942,10,,Aggregated,7.600000,0.000000,4,4,5,5,6,7,15,19,100,100,100,493,0,4,5.024730020271943,3.3980000007431954,104.87210000064806,193.63083164300204
1780284943,10,,Aggregated,7.900000,0.000000,4,4,5,5,6,7,13,19,100,100,100,501,0,4,5.017583033922838,3.3980000007431954,104.87210000064806,192.8323353293413
1780284944,10,,Aggregated,7.500000,0.000000,4,4,5,5,6,7,13,19,100,100,100,510,0,4,4.998106078425075,3.3980000007431954,104.87210000064806,191.8686274509804
1780284945,10,,Aggregated,7.300000,0.000000,4,4,5,5,6,7,13,19,100,100,100,519,0,4,4.981633333324097,3.3980000007431954,104.87210000064806,191.6878612716763
1780284946,10,,Aggregated,7.700000,0.000000,4,4,5,5,6,7,13,19,100,100,100,528,0,4,4.96326136364146,3.3980000007431954,104.87210000064806,192.98674242424244
1780284947,10,,Aggregated,7.800000,0.000000,4,4,5,5,6,7,13,19,100,100,100,533,0,4,4.952931894941953,3.3980000007431954,104.87210000064806,193.52720450281427
1780284948,10,,Aggregated,7.900000,0.000000,4,4,5,5,6,7,13,19,100,100,100,543,0,4,4.94337974217949,3.3980000007431954,104.87210000064806,193.86187845303868
1780284949,10,,Aggregated,8.100000,0.000000,4,4,5,5,6,7,13,19,100,100,100,549,0,4,4.93250801457862,3.3980000007431954,104.87210000064806,193.48998178506375
1780284950,10,,Aggregated,7.700000,0.000000,4,4,5,5,6,7,12,19,100,100,100,558,0,4,4.920384946241831,3.3980000007431954,104.87210000064806,193.99283154121864
1780284951,10,,Aggregated,8.000000,0.000000,4,4,5,5,6,7,12,19,100,100,100,564,0,4,4.911941134754193,3.3980000007431954,104.87210000064806,192.93971631205673
1780284952,10,,Aggregated,7.800000,0.000000,4,4,5,5,6,7,12,19,100,100,100,574,0,4,4.897313066206435,3.3980000007431954,104.87210000064806,192.58885017421602
1780284954,10,,Aggregated,7.700000,0.000000,4,4,5,5,6,7,12,19,100,100,100,584,0,4,4.887019178091602,3.3980000007431954,104.87210000064806,190.91780821917808
1780284955,10,,Aggregated,7.900000,0.000000,4,4,5,5,6,7,12,19,100,100,100,591,0,4,4.877960913712396,3.3980000007431954,104.87210000064806,191.09813874788495
1780284956,10,,Aggregated,8.100000,0.000000,4,4,5,5,6,7,10,18,100,100,100,601,0,4,4.869800665560835,3.3980000007431954,104.87210000064806,190.7936772046589
1780284957,10,,Aggregated,8.300000,0.000000,4,4,5,5,6,7,10,18,100,100,100,605,0,4,4.863657851242614,3.3980000007431954,104.87210000064806,190.80330578512397
1780284958,10,,Aggregated,8.100000,0.000000,4,4,5,5,6,7,10,18,100,100,100,614,0,4,4.851303583057413,3.3980000007431954,104.87210000064806,191.29967426710098
1780284959,10,,Aggregated,7.700000,0.000000,4,4,5,5,6,7,10,18,100,100,100,623,0,4,4.8487616372337,3.3980000007431954,104.87210000064806,193.03049759229535
1780284960,10,,Aggregated,8.100000,0.000000,4,4,5,5,6,7,10,18,100,100,100,628,0,4,4.850870222925996,3.3980000007431954,104.87210000064806,192.86942675159236
1780284961,10,,Aggregated,7.900000,0.000000,4,4,5,5,6,7,10,18,100,100,100,637,0,4,4.8474875981083585,3.3980000007431954,104.87210000064806,192.70800627943484
